Threads,CpuTime,UserTime,SystemTime
1,0.455,0.396,0.051
1,0.463,0.409,0.048
1,0.466,0.413,0.048
1,0.444,0.392,0.048
1,0.460,0.402,0.051
1,0.470,0.415,0.050
1,0.456,0.400,0.049
1,0.475,0.412,0.053
1,0.468,0.402,0.052
1,0.456,0.402,0.049
1,0.462,0.407,0.051
1,0.467,0.410,0.050
1,0.472,0.414,0.052
1,0.453,0.398,0.049
1,0.479,0.410,0.053
1,0.457,0.401,0.053
1,0.467,0.408,0.052
1,0.478,0.411,0.052
1,0.493,0.420,0.052
1,0.481,0.414,0.057
1,0.466,0.405,0.054
1,0.487,0.422,0.054
1,0.483,0.418,0.052
1,0.463,0.414,0.046
1,0.464,0.413,0.047
1,0.461,0.411,0.046
1,0.455,0.407,0.045
1,0.451,0.400,0.048
1,0.454,0.403,0.048
1,0.470,0.416,0.047
1,0.455,0.404,0.047
1,0.452,0.403,0.045
1,0.442,0.393,0.047
1,0.455,0.405,0.046
1,0.448,0.400,0.044
1,0.465,0.413,0.048
1,0.450,0.400,0.046
1,0.470,0.414,0.048
1,0.464,0.404,0.051
1,0.575,0.469,0.059
1,0.558,0.471,0.056
1,0.458,0.407,0.049
1,0.470,0.415,0.048
1,0.468,0.411,0.051
1,0.477,0.413,0.053
1,0.491,0.422,0.053
1,0.479,0.415,0.051
1,0.486,0.420,0.053
1,0.479,0.420,0.052
1,0.465,0.406,0.052
1,0.468,0.405,0.053
1,0.452,0.397,0.049
1,0.487,0.419,0.058
1,0.497,0.418,0.062
1,0.483,0.424,0.050
1,0.467,0.410,0.050
1,0.466,0.409,0.051
1,0.499,0.417,0.066
1,0.464,0.411,0.050
1,0.453,0.401,0.047
1,0.468,0.413,0.050
1,0.463,0.410,0.049
1,0.451,0.395,0.049
1,0.454,0.400,0.050
1,0.464,0.407,0.051
1,0.475,0.422,0.050
1,0.457,0.404,0.048
1,0.460,0.408,0.047
1,0.469,0.416,0.049
1,0.471,0.419,0.048
1,0.450,0.397,0.049
1,0.473,0.415,0.051
1,0.456,0.405,0.047
1,0.465,0.408,0.050
1,0.469,0.409,0.052
1,0.479,0.414,0.054
1,0.485,0.416,0.057
1,0.467,0.409,0.052
1,0.489,0.411,0.053
1,0.459,0.404,0.050
1,0.470,0.405,0.055
1,0.492,0.424,0.054
1,0.513,0.441,0.055
1,0.476,0.414,0.053
1,0.474,0.414,0.051
1,0.482,0.425,0.050
1,0.535,0.462,0.052
1,0.457,0.405,0.047
1,0.457,0.403,0.050
1,0.466,0.415,0.047
1,0.499,0.423,0.053
1,0.469,0.410,0.053
1,0.505,0.429,0.058
1,0.461,0.406,0.051
1,0.457,0.407,0.046
1,0.460,0.407,0.049
1,0.482,0.428,0.049
1,0.463,0.411,0.048
1,0.466,0.413,0.047
1,0.458,0.407,0.047
2,0.294,0.410,0.050
2,0.293,0.417,0.050
2,0.289,0.406,0.049
2,0.286,0.407,0.047
2,0.286,0.407,0.047
2,0.286,0.403,0.049
2,0.282,0.396,0.051
2,0.287,0.408,0.048
2,0.287,0.404,0.049
2,0.312,0.438,0.051
2,0.420,0.535,0.067
2,0.369,0.492,0.062
2,0.354,0.479,0.059
2,0.323,0.440,0.056
2,0.329,0.451,0.056
2,0.282,0.400,0.050
2,0.340,0.468,0.057
2,0.351,0.478,0.061
2,0.306,0.422,0.054
2,0.341,0.478,0.059
2,0.325,0.452,0.056
2,0.312,0.432,0.055
2,0.297,0.421,0.050
2,0.292,0.406,0.051
2,0.313,0.423,0.056
2,0.295,0.419,0.050
2,0.279,0.394,0.047
2,0.307,0.433,0.051
2,0.280,0.397,0.047
2,0.303,0.425,0.051
2,0.344,0.468,0.058
2,0.318,0.441,0.054
2,0.289,0.398,0.049
2,0.322,0.445,0.055
2,0.360,0.485,0.062
2,0.326,0.432,0.061
2,0.351,0.480,0.059
2,0.312,0.407,0.060
2,0.300,0.395,0.053
2,0.273,0.386,0.047
2,0.294,0.407,0.051
2,0.276,0.391,0.047
2,0.284,0.402,0.047
2,0.298,0.421,0.051
2,0.281,0.394,0.049
2,0.281,0.399,0.048
2,0.284,0.399,0.049
2,0.284,0.402,0.049
2,0.276,0.393,0.047
2,0.291,0.409,0.050
2,0.281,0.399,0.048
2,0.284,0.398,0.048
2,0.292,0.412,0.050
2,0.282,0.400,0.048
2,0.324,0.451,0.058
2,0.326,0.463,0.056
2,0.317,0.440,0.055
2,0.313,0.435,0.056
2,0.316,0.436,0.055
2,0.290,0.403,0.051
2,0.320,0.438,0.054
2,0.322,0.448,0.055
2,0.293,0.406,0.053
2,0.326,0.457,0.054
2,0.279,0.391,0.049
2,0.344,0.491,0.055
2,0.316,0.447,0.052
2,0.319,0.441,0.054
2,0.336,0.465,0.056
2,0.283,0.397,0.049
2,0.289,0.404,0.050
2,0.289,0.411,0.051
2,0.289,0.406,0.050
2,0.308,0.430,0.053
2,0.288,0.404,0.050
2,0.296,0.418,0.050
2,0.280,0.399,0.047
2,0.277,0.395,0.046
2,0.303,0.430,0.051
2,0.289,0.409,0.051
2,0.299,0.426,0.051
2,0.283,0.397,0.050
2,0.289,0.409,0.050
2,0.282,0.399,0.048
2,0.292,0.420,0.047
2,0.284,0.404,0.048
2,0.286,0.405,0.047
2,0.310,0.437,0.051
2,0.282,0.394,0.050
2,0.280,0.391,0.048
2,0.289,0.403,0.050
2,0.279,0.396,0.047
2,0.285,0.401,0.050
2,0.285,0.405,0.049
2,0.284,0.402,0.050
2,0.287,0.405,0.051
2,0.305,0.426,0.052
2,0.301,0.423,0.052
2,0.394,0.501,0.069
2,0.352,0.487,0.056
3,0.371,0.629,0.061
3,0.351,0.594,0.066
3,0.288,0.506,0.055
3,0.280,0.509,0.055
3,0.274,0.496,0.053
3,0.276,0.524,0.052
3,0.285,0.521,0.055
3,0.275,0.511,0.054
3,0.272,0.511,0.053
3,0.296,0.549,0.057
3,0.285,0.517,0.056
3,0.285,0.526,0.055
3,0.280,0.527,0.053
3,0.304,0.564,0.058
3,0.287,0.539,0.055
3,0.281,0.517,0.056
3,0.276,0.520,0.053
3,0.333,0.578,0.058
3,0.298,0.543,0.056
3,0.282,0.522,0.054
3,0.294,0.541,0.056
3,0.288,0.526,0.056
3,0.289,0.519,0.054
3,0.354,0.654,0.063
3,0.294,0.531,0.057
3,0.332,0.577,0.058
3,0.281,0.515,0.056
3,0.319,0.576,0.062
3,0.273,0.514,0.053
3,0.278,0.494,0.052
3,0.286,0.536,0.054
3,0.282,0.514,0.055
3,0.279,0.507,0.055
3,0.273,0.498,0.051
3,0.280,0.526,0.052
3,0.278,0.499,0.053
3,0.285,0.530,0.052
3,0.272,0.494,0.050
3,0.276,0.514,0.052
3,0.267,0.497,0.051
3,0.287,0.524,0.054
3,0.267,0.496,0.049
3,0.281,0.525,0.051
3,0.270,0.507,0.051
3,0.274,0.515,0.051
3,0.274,0.507,0.053
3,0.278,0.519,0.050
3,0.263,0.501,0.050
3,0.272,0.507,0.050
3,0.271,0.492,0.050
3,0.279,0.520,0.052
3,0.291,0.536,0.053
3,0.283,0.519,0.054
3,0.274,0.503,0.052
3,0.276,0.520,0.052
3,0.268,0.505,0.051
3,0.269,0.511,0.048
3,0.272,0.507,0.052
3,0.279,0.512,0.054
3,0.280,0.515,0.052
3,0.270,0.517,0.053
3,0.273,0.500,0.051
3,0.282,0.504,0.052
3,0.273,0.501,0.052
3,0.274,0.512,0.051
3,0.270,0.503,0.050
3,0.270,0.515,0.050
3,0.265,0.503,0.050
3,0.274,0.514,0.051
3,0.272,0.508,0.052
3,0.283,0.515,0.051
3,0.371,0.620,0.058
3,0.313,0.582,0.060
3,0.304,0.580,0.054
3,0.287,0.537,0.058
3,0.298,0.543,0.055
3,0.281,0.518,0.053
3,0.272,0.514,0.052
3,0.278,0.508,0.052
3,0.271,0.500,0.052
3,0.274,0.515,0.051
3,0.269,0.507,0.050
3,0.273,0.506,0.050
3,0.276,0.508,0.052
3,0.276,0.511,0.052
3,0.275,0.498,0.052
3,0.272,0.503,0.051
3,0.285,0.518,0.051
3,0.281,0.516,0.053
3,0.268,0.501,0.052
3,0.272,0.514,0.053
3,0.287,0.525,0.055
3,0.282,0.507,0.055
3,0.274,0.507,0.052
3,0.282,0.502,0.053
3,0.279,0.516,0.051
3,0.283,0.510,0.052
3,0.276,0.508,0.051
3,0.270,0.508,0.052
3,0.272,0.501,0.052
4,0.303,0.472,0.051
4,0.345,0.519,0.058
4,0.339,0.507,0.063
4,0.328,0.500,0.059
4,0.328,0.501,0.056
4,0.327,0.507,0.058
4,0.337,0.496,0.060
4,0.338,0.501,0.058
4,0.322,0.503,0.056
4,0.341,0.503,0.058
4,0.367,0.518,0.066
4,0.447,0.616,0.075
4,0.445,0.577,0.076
4,0.472,0.584,0.074
4,0.355,0.527,0.065
4,0.327,0.485,0.058
4,0.334,0.507,0.060
4,0.406,0.569,0.070
4,0.347,0.536,0.064
4,0.351,0.516,0.059
4,0.379,0.545,0.069
4,0.317,0.484,0.053
4,0.400,0.587,0.071
4,0.327,0.505,0.057
4,0.319,0.501,0.056
4,0.339,0.525,0.058
4,0.323,0.481,0.056
4,0.331,0.511,0.057
4,0.334,0.513,0.060
4,0.325,0.499,0.058
4,0.346,0.551,0.058
4,0.318,0.499,0.057
4,0.326,0.499,0.054
4,0.319,0.489,0.055
4,0.321,0.486,0.055
4,0.331,0.501,0.058
4,0.315,0.484,0.055
4,0.311,0.492,0.051
4,0.306,0.494,0.052
4,0.310,0.493,0.054
4,0.315,0.482,0.054
4,0.316,0.495,0.056
4,0.321,0.494,0.055
4,0.310,0.488,0.054
4,0.328,0.515,0.052
4,0.320,0.487,0.056
4,0.311,0.476,0.055
4,0.319,0.489,0.053
4,0.358,0.572,0.056
4,0.315,0.508,0.057
4,0.313,0.489,0.053
4,0.339,0.515,0.055
4,0.313,0.488,0.054
4,0.307,0.485,0.052
4,0.323,0.499,0.053
4,0.316,0.480,0.054
4,0.313,0.489,0.053
4,0.334,0.515,0.059
4,0.327,0.504,0.061
4,0.328,0.519,0.057
4,0.338,0.505,0.059
4,0.343,0.535,0.060
4,0.373,0.565,0.065
4,0.332,0.520,0.061
4,0.344,0.519,0.057
4,0.323,0.504,0.059
4,0.325,0.500,0.058
4,0.352,0.545,0.063
4,0.329,0.481,0.057
4,0.332,0.505,0.057
4,0.315,0.485,0.055
4,0.342,0.532,0.060
4,0.331,0.518,0.057
4,0.329,0.501,0.059
4,0.315,0.480,0.055
4,0.327,0.495,0.054
4,0.314,0.498,0.057
4,0.351,0.546,0.061
4,0.340,0.525,0.064
4,0.320,0.510,0.056
4,0.313,0.475,0.052
4,0.337,0.506,0.058
4,0.345,0.549,0.060
4,0.343,0.513,0.062
4,0.352,0.527,0.062
4,0.369,0.552,0.069
4,0.327,0.492,0.059
4,0.312,0.510,0.054
4,0.310,0.472,0.055
4,0.353,0.540,0.066
4,0.328,0.505,0.056
4,0.324,0.483,0.057
4,0.335,0.501,0.061
4,0.322,0.494,0.058
4,0.330,0.523,0.056
4,0.394,0.548,0.065
4,0.375,0.581,0.065
4,0.313,0.495,0.054
4,0.315,0.491,0.054
4,0.378,0.553,0.059
5,0.301,0.587,0.059
5,0.302,0.576,0.058
5,0.318,0.588,0.060
5,0.296,0.576,0.057
5,0.305,0.584,0.057
5,0.306,0.591,0.057
5,0.304,0.560,0.058
5,0.304,0.580,0.058
5,0.335,0.606,0.067
5,0.341,0.598,0.070
5,0.314,0.583,0.065
5,0.325,0.595,0.065
5,0.337,0.603,0.071
5,0.311,0.593,0.061
5,0.298,0.576,0.056
5,0.304,0.589,0.058
5,0.314,0.590,0.060
5,0.297,0.577,0.058
5,0.303,0.587,0.059
5,0.302,0.576,0.058
5,0.328,0.593,0.063
5,0.404,0.650,0.073
5,0.326,0.587,0.065
5,0.330,0.599,0.066
5,0.307,0.590,0.060
5,0.302,0.553,0.058
5,0.322,0.590,0.064
5,0.310,0.593,0.060
5,0.298,0.576,0.060
5,0.329,0.595,0.065
5,0.323,0.590,0.067
5,0.339,0.601,0.068
5,0.339,0.604,0.066
5,0.305,0.591,0.061
5,0.291,0.571,0.055
5,0.300,0.590,0.057
5,0.299,0.563,0.060
5,0.301,0.575,0.058
5,0.293,0.577,0.055
5,0.298,0.582,0.058
5,0.329,0.600,0.062
5,0.335,0.600,0.068
5,0.327,0.600,0.063
5,0.328,0.587,0.063
5,0.306,0.566,0.060
5,0.316,0.587,0.062
5,0.319,0.593,0.063
5,0.298,0.576,0.055
5,0.314,0.593,0.061
5,0.296,0.577,0.057
5,0.303,0.578,0.056
5,0.311,0.592,0.061
5,0.302,0.562,0.060
5,0.318,0.584,0.057
5,0.301,0.586,0.058
5,0.299,0.584,0.059
5,0.301,0.583,0.057
5,0.298,0.575,0.056
5,0.307,0.589,0.058
5,0.352,0.606,0.067
5,0.327,0.597,0.067
